DAY_OF_WEEK,LINE_ID,WORKDAY,LAG_7,DIFF_14,YEAR,DAY_OF_WEEK_COS,DAY_OF_YEAR_SIN,MONTH_SIN
1,525,1,0,0,2024,0.6234898018587336,-0.9721181966290612,-1.0
2,525,1,0,0,2024,-0.22252093395631434,-0.9760105506323682,-1.0
3,525,1,0,0,2024,-0.900968867902419,-0.9796136916454901,-1.0
4,525,1,0,0,2024,-0.9009688679024191,-0.9829265519799822,-1.0
5,525,1,0,0,2024,-0.2225209339563146,-0.9859481499638303,-1.0
6,525,0,0,0,2024,0.6234898018587334,-0.9886775902323404,-1.0
7,525,0,0,0,2024,1.0,-0.9911140639934546,-1.0
1,525,1,0,0,2024,0.6234898018587336,-0.9932568492674143,-1.0
2,525,1,0,0,2024,-0.22252093395631434,-0.9951053111006974,-1.0
3,525,1,0,0,2024,-0.900968867902419,-0.99665890175417,-1.0
4,525,1,0,0,2024,-0.9009688679024191,-0.9979171608653922,-1.0
5,525,1,0,0,2024,-0.2225209339563146,-0.9988797155850335,-1.0
6,525,0,0,0,2024,0.6234898018587334,-0.9995462806873573,-1.0
7,525,0,0,0,2024,1.0,-0.9999166586547379,-1.0
1,525,1,0,0,2024,0.6234898018587336,-0.9999907397361901,-1.0
2,525,1,0,0,2024,-0.22252093395631434,-0.9997685019798909,-0.8660254037844386
3,525,1,0,0,2024,-0.900968867902419,-0.9992500112396835,-0.8660254037844386
4,525,1,0,0,2024,-0.9009688679024191,-0.9984354211555643,-0.8660254037844386
5,525,1,0,0,2024,-0.2225209339563146,-0.9973249731081555,-0.8660254037844386
6,525,0,0,0,2024,0.6234898018587334,-0.9959189961471792,-0.8660254037844386
7,525,0,0,0,2024,1.0,-0.994217906893952,-0.8660254037844386
1,525,1,0,0,2024,0.6234898018587336,-0.9922222094179324,-0.8660254037844386
2,525,1,0,0,2024,-0.22252093395631434,-0.989932495087353,-0.8660254037844386
3,525,1,0,0,2024,-0.900968867902419,-0.9873494423939864,-0.8660254037844386
4,525,1,0,0,2024,-0.9009688679024191,-0.9844738167520923,-0.8660254037844386
5,525,1,0,0,2024,-0.2225209339563146,-0.9813064702716093,-0.8660254037844386
6,525,0,0,0,2024,0.6234898018587334,-0.9778483415056567,-0.8660254037844386
7,525,0,0,0,2024,1.0,-0.9741004551724206,-0.8660254037844386
1,525,1,0,0,2024,0.6234898018587336,-0.970063921851507,-0.8660254037844386
2,525,1,0,0,2024,-0.22252093395631434,-0.965739937654855,-0.8660254037844386
3,525,1,0,0,2024,-0.900968867902419,-0.9611297838723007,-0.8660254037844386
4,525,1,0,0,2024,-0.9009688679024191,-0.9562348265919058,-0.8660254037844386
5,525,1,0,0,2024,-0.2225209339563146,-0.9510565162951536,-0.8660254037844386
6,525,0,0,0,2024,0.6234898018587334,-0.9455963874271428,-0.8660254037844386
7,525,0,0,0,2024,1.0,-0.9398560579418953,-0.8660254037844386
1,525,1,0,0,2024,0.6234898018587336,-0.9338372288229252,-0.8660254037844386
2,525,1,0,0,2024,-0.22252093395631434,-0.9275416835791965,-0.8660254037844386
3,525,1,0,0,2024,-0.900968867902419,-0.9209712877166347,-0.8660254037844386
4,525,1,0,0,2024,-0.9009688679024191,-0.9141279881853337,-0.8660254037844386
5,525,1,0,0,2024,-0.2225209339563146,-0.9070138128026362,-0.8660254037844386
6,525,0,0,0,2024,0.6234898018587334,-0.8996308696522434,-0.8660254037844386
7,525,0,0,0,2024,1.0,-0.8919813464595487,-0.8660254037844386
1,525,1,0,0,2024,0.6234898018587336,-0.8840675099433637,-0.8660254037844386
